Gene	Gene
PPAPDC1A	CNM
PIM3	CNM
BMF	CNM
AIM1	CNM
AP4B1	CNM
SLC45A1	CNM
HNRNPC	CNM
EFNA3	CNM
PTPN7	CNM
TSLP	CNM
SF3B2	CNM
NOX4	CNM
NRSN1	CNM
FMN2	CNM
LRP12	CNM
CD46,MCP	CNM
MYCN	CNM
ARHGEF5	CNM
LAMP3	CNM
TMBIM1	CNM
C6orf10	CNM
NCR2	CNM
DLX1	CNM
RFK	CNM
LGR6	CNM
CAPSL	CNM
TMEM163	CNM
FBXL17	CNM
RNASET2	CNM
BASP1	CNM
TGFBR1	CNM
CDH13	CNM
F11R	CNM
ANXA11	CNM
TMTC2	CNM
CACNA2D3	CNM
MKLN1	CNM
PPP2R2B	CNM
MORF4L1	CNM
MMP7	CNM
EPS15L1	CNM
NDST3	CNM
LDHD	CNM
KLK3	CNM
GSTM1	CNM
FCGR2B	CNM
MRPS9	CNM
AKR1E2	CNM
LONRF1	CNM
HLA-DPA1	CNM
PPM1A	CNM
IL24	CNM
PIK3C2B	CNM
CEACAM21	CNM
TNC	CNM
CRADD	CNM
CD58	CNM
OTUD3	CNM
HAPLN4	CNM
C11orf86	CNM
EFNA4	CNM
STRN4	CNM
TMEM63C	CNM
KCNK10	CNM
ZC3H12D	CNM
TNFRSF13B	CNM
RBM43	CNM
FGF19	CNM
GPC6	CNM
RASSF6	CNM
DNAJC5	CNM
AP3S2	CNM
BCL2L15	CNM
TEAD4	CNM
CEP152	CNM
ASTN2	CNM
CBX7	CNM
VEZT	CNM
BAT3,BAG6	CNM
EGFR	CNM
CRBN	CNM
CDKN1A	CNM
TLE1	CNM
AGAP2	CNM
SLC2A13	CNM
NFKB1	CNM
DOK3	CNM
SGPP2	CNM
PALB2	CNM
CEP72	CNM
BIK	CNM
RPGRIP1L	CNM
TREM2	CNM
MTHFS	CNM
IRF4	CNM
SRPK2	CNM
APOC3	CNM
ACO1	CNM
CCDC101	CNM
CHRNA3	CNM
EEF1A2	CNM
TP53INP1	CNM
LHFP	CNM
INSC	CNM
BIRC3	CNM
HMHB1	CNM
TYW5	CNM
PTPRU	CNM
CMKLR1	CNM
EVI5	CNM
ZFHX3	CNM
NTNG1,NTNG2	CNM
MET	CNM
CCL7	CNM
LYG1	CNM
WDR36	CNM
SYNE2	CNM
CYS1	CNM
C12orf43	CNM
SLC39A11	CNM
LAT	CNM
SULF2	CNM
CPT1B	CNM
MFSD1	CNM
TLR9	CNM
STMN4	CNM
CASS4	CNM
